"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"5394",662423,M,-5,Non-Small Cell Lung,NCIH522,5
"5395",662423,M,-5,Ovarian,OVCAR3,5
"5396",662423,M,-5,Ovarian,OVCAR4,5
"5397",662423,M,-5,Ovarian,OVCAR5,5
"5398",662423,M,-5,Ovarian,OVCAR8,5
"5399",662423,M,-5,Prostate,PC3,5
"5400",662423,M,-5,Leukemia,RPMI8226,5
"5401",662423,M,-5,Renal,RXF393,5
"5402",662423,M,-5,Central Nervous System,SF268,5
"5403",662423,M,-5,Central Nervous System,SF295,5
"5404",662423,M,-5,Central Nervous System,SF539,5
"5405",662423,M,-5,Melanoma,SKMEL2,5
"5406",662423,M,-5,Melanoma,SKMEL28,5
"5407",662423,M,-5,Melanoma,SKMEL5,5
"5408",662423,M,-5,Ovarian,SKOV3,5
"5409",662423,M,-5,Renal,SN12C,5.099
"5410",662423,M,-5,Central Nervous System,SNB19,5
"5411",662423,M,-5,Central Nervous System,SNB75,5
"5412",662423,,,,SR,
"5413",662423,M,-5,Colon,SW620,5
"5414",662423,M,-5,Breast,T47D,5
"5415",662423,M,-5,Renal,TK10,5
"5416",662423,M,-5,Central Nervous System,U251,5
"5417",662423,M,-5,Melanoma,UACC257,5
"5418",662423,,,,UACC62,
"5419",662424,M,-4,Renal,7860,5.793
"5420",662424,M,-4,Renal,A498,4.901
"5421",662424,,,,A549,
"5422",662424,M,-4,Renal,ACHN,5.657
"5423",662424,,,,BT549,
"5424",662424,M,-4,Renal,CAKI1,5.477
"5425",662424,M,-4,Leukemia,CCRFCEM,6.666
"5426",662424,M,-4,Colon,COLO205,6.734
"5427",662424,M,-4,Prostate,DU145,5.589
"5428",662424,M,-4,Non-Small Cell Lung,EKVX,5.037
"5429",662424,M,-4,Colon,HCC2998,4.95
"5430",662424,M,-4,Colon,HCT116,6.273
"5431",662424,M,-4,Colon,HCT15,5.033
"5432",662424,,,,HL60,
"5433",662424,M,-4,Non-Small Cell Lung,HOP62,5.432
"5434",662424,M,-4,Non-Small Cell Lung,HOP92,5.733
"5435",662424,M,-4,Breast,HS578T,5.398
"5436",662424,M,-4,Colon,HT29,5.566
"5437",662424,M,-4,Ovarian,IGROV1,5.367
"5438",662424,M,-4,Leukemia,K562,6.446
"5439",662424,M,-4,Colon,KM12,4.759
"5440",662424,M,-4,Melanoma,LOXIMVI,5.63
"5441",662424,M,-4,Melanoma,M14,5.437
"5442",662424,M,-4,Melanoma,MALME3M,5.707
"5443",662424,M,-4,Breast,MCF7,5.404
"5444",662424,,,,MDAMB231,
"5445",662424,M,-4,Melanoma,MDAMB435,6.056
"5446",662424,,,,MDAMB468,
"5447",662424,M,-4,Leukemia,MOLT4,6.624
"5448",662424,M,-4,Ovarian,NCIADRRES,4.244
"5449",662424,M,-4,Non-Small Cell Lung,NCIH226,5.431
"5450",662424,M,-4,Non-Small Cell Lung,NCIH23,6.129
"5451",662424,M,-4,Non-Small Cell Lung,NCIH322M,4.96
"5452",662424,M,-4,Non-Small Cell Lung,NCIH460,5.725
"5453",662424,M,-4,Non-Small Cell Lung,NCIH522,5.714
"5454",662424,M,-4,Ovarian,OVCAR3,6.3
"5455",662424,M,-4,Ovarian,OVCAR4,5.581
"5456",662424,M,-4,Ovarian,OVCAR5,4.99
"5457",662424,M,-4,Ovarian,OVCAR8,7.02
"5458",662424,M,-4,Prostate,PC3,5.963
"5459",662424,M,-4,Leukemia,RPMI8226,6.938
"5460",662424,M,-4,Renal,RXF393,4.957
"5461",662424,M,-4,Central Nervous System,SF268,5.468
"5462",662424,M,-4,Central Nervous System,SF295,5.198
"5463",662424,M,-4,Central Nervous System,SF539,5.499
"5464",662424,M,-4,Melanoma,SKMEL2,5.55
"5465",662424,M,-4,Melanoma,SKMEL28,5.463
